

7/10/2015 11:36:53 AM
HAL9000.-> Not connected to BB
HAL9000.-> No suscribed to gesture variable
HAL9000.-> No suscribed to location variable
HAL9000.-> No suscribed to region variable
HAL9000.-> No suscribed to room variable
HAL9000.-> No suscribed to reco speech variable
HAL9000.-> SYSTEM NOT READY
HAL9000.-> Client Connected
HAL9000CmdMan: Response Received: list_vars "alive busy connected modules ready vars test_shared_var textToSpeech currentVoice" 1
HAL9000CmdMan: Response Received: list_vars "alive busy connected modules ready vars test_shared_var textToSpeech currentVoice" 1
HAL9000CmdMan: Response Received: read_vars "{ string alive "ACT-PLN BLK LANG_UND SP-GEN" }{ string busy "" }{ string connected "ACT-PLN BLK LANG_UND SP-GEN" }{ string modules "ACT-PLN ARMS BLK HEAD JOYSTICK LANG_UND LASERS MVN-PLN OBJ-FNDT SP-GEN SP-INPUT SP-REC ST-PLN" }{ string ready "BLK LANG_UND SP-GEN" }{ string vars "string alive string busy string connected string modules string ready string vars string test_shared_var string textToSpeech string currentVoice" }{ string test_shared_var }{ string textToSpeech null  }{ string currentVoice null  }" 1
HAL9000CmdMan: Response Received: read_vars "{ string alive "ACT-PLN BLK LANG_UND SP-GEN" }{ string busy "" }{ string connected "ACT-PLN BLK LANG_UND SP-GEN" }{ string modules "ACT-PLN ARMS BLK HEAD JOYSTICK LANG_UND LASERS MVN-PLN OBJ-FNDT SP-GEN SP-INPUT SP-REC ST-PLN" }{ string ready "BLK LANG_UND SP-GEN" }{ string vars "string alive string busy string connected string modules string ready string vars string test_shared_var string textToSpeech string currentVoice" }{ string test_shared_var }{ string textToSpeech null  }{ string currentVoice null  }" 1
HAL9000CmdMan: Response Received: stat_var "string alive creationTime={2015-07-10 11:36:24} writers={BLK}" 1
HAL9000CmdMan: Response Received: stat_var "string alive creationTime={2015-07-10 11:36:24} writers={BLK}" 1
HAL9000CmdMan: Response Received: stat_var "string busy creationTime={2015-07-10 11:36:24} writers={BLK}" 1
HAL9000CmdMan: Response Received: stat_var "string busy creationTime={2015-07-10 11:36:24} writers={BLK}" 1
HAL9000CmdMan: Response Received: stat_var "string connected creationTime={2015-07-10 11:36:24} writers={BLK}" 1
HAL9000CmdMan: Response Received: stat_var "string connected creationTime={2015-07-10 11:36:24} writers={BLK}" 1
HAL9000CmdMan: Response Received: stat_var "string modules creationTime={2015-07-10 11:36:24} writers={BLK}" 1
HAL9000CmdMan: Response Received: stat_var "string modules creationTime={2015-07-10 11:36:24} writers={BLK}" 1
HAL9000CmdMan: Response Received: stat_var "string ready creationTime={2015-07-10 11:36:24} writers={BLK}" 1
HAL9000CmdMan: Response Received: stat_var "string ready creationTime={2015-07-10 11:36:24} writers={BLK}" 1
HAL9000CmdMan: Response Received: stat_var "string vars creationTime={2015-07-10 11:36:24}" 1
